username,repo_name,stars,repo_url
vercel,next.js,132k,https://github.com/vercel/next.js
rust-lang,rust,104k,https://github.com/rust-lang/rust
sveltejs,svelte,82.9k,https://github.com/sveltejs/svelte
webpack,webpack,65.3k,https://github.com/webpack/webpack
FuelLabs,sway,62.3k,https://github.com/FuelLabs/sway
gatsbyjs,gatsby,55.9k,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,50.7k,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,43.9k,https://github.com/parcel-bundler/parcel
babel,babel,43.6k,https://github.com/babel/babel
typst,typst,41.4k,https://github.com/typst/typst
ziglang,zig,39.3k,https://github.com/ziglang/zig
evanw,esbuild,39k,https://github.com/evanw/esbuild
vlang,v,36.4k,https://github.com/vlang/v
markedjs,marked,34.8k,https://github.com/markedjs/marked
carbon-language,carbon-lang,32.9k,https://github.com/carbon-language/carbon-lang
swc-project,swc,32.3k,https://github.com/swc-project/swc
vercel,pkg,24.4k,https://github.com/vercel/pkg
v8,v8,24.1k,https://github.com/v8/v8
oracle,graal,20.9k,https://github.com/oracle/graal
RustPython,RustPython,20.1k,https://github.com/RustPython/RustPython
