Name,Memory,Color,Stars,Reviews,Old_price,New_price,Discount
Apple iPhone 16 ,128,Black,4.6,704,"₹79,900","₹74,900",6% off
Apple iPhone 16 ,128,Pink,4.6,704,"₹79,900","₹74,900",6% off
Apple iPhone 13 ,128,Starlight,4.6,"13,902","₹49,900","₹44,999",9% off
Apple iPhone 16 ,128,White,4.6,704,"₹79,900","₹74,900",6% off
Apple iPhone 16 Plus ,128,White,4.6,143,"₹89,900","₹84,900",5% off
Apple iPhone 16e ,128,White,4.6,51,"₹59,900","₹54,900",8% off
Apple iPhone 16 ,128,Teal,4.6,704,"₹79,900","₹74,900",6% off
Apple iPhone 16 Plus ,128,Black,4.6,143,"₹89,900","₹84,900",5% off
Apple iPhone 13 ,128,Midnight,4.6,"13,902","₹49,900","₹44,999",9% off
Apple iPhone 13 ,128,Blue,4.6,"13,902","₹49,900","₹44,999",9% off
Apple iPhone 16 ,128,Ultramarine,4.6,704,"₹79,900","₹74,900",6% off
Apple iPhone 15 ,128,Blue,4.6,"9,296","₹69,900","₹64,400",7% off
Apple iPhone 16 ,256,Black,4.6,704,"₹89,900","₹84,900",5% off
Apple iPhone 16 ,256,Ultramarine,4.6,704,"₹89,900","₹84,900",5% off
Apple iPhone 14 ,128,Starlight,4.6,"11,672","₹59,900","₹54,999",8% off
Apple iPhone 16 ,256,Pink,4.6,704,"₹89,900","₹84,900",5% off
Apple iPhone 16 ,256,White,4.6,704,"₹89,900","₹84,900",5% off
Apple iPhone 15 Plus ,256,Green,4.6,"2,541","₹89,900","₹84,900",5% off
Apple iPhone 16 Pro ,256,Desert Titanium,4.7,104,"₹1,29,900","₹1,22,900",5% off
Apple iPhone 16 Plus ,256,Ultramarine,4.6,143,"₹99,900","₹94,900",5% off
Apple iPhone 16 ,256,Teal,4.6,704,"₹89,900","₹84,900",5% off
Apple iPhone 16 Plus ,128,Teal,4.6,143,"₹89,900","₹84,900",5% off
Apple iPhone 16 Plus ,256,Pink,4.6,143,"₹99,900","₹94,900",5% off
Apple iPhone 15 ,256,Pink,4.6,"9,296","₹79,900","₹74,400",6% off
